2011-09-24 09:05:15 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 09:05:15 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 09:05:15 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 09:05:15 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 09:05:35 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 09:05:35 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 09:05:35 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 09:05:35 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 09:18:53 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 09:18:53 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 09:18:53 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 09:38:59 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 09:38:59 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 09:38:59 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 09:40:20 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 09:40:20 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 09:40:20 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 09:41:05 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 09:41:05 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 09:41:05 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 09:41:14 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 09:41:14 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 09:41:14 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 09:41:26 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 09:41:26 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 09:41:26 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 09:41:29 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 09:41:29 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 09:41:29 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-28 09:27:51 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-28 09:27:51 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-28 09:27:51 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2012-03-18 22:15:09 Debug: Notice (8): Use of undefined constant DEFAULT_LANGUAGE - assumed 'DEFAULT_LANGUAGE' in [C:\xampp\htdocs\dbMiniProject\controllers\components\P28n.php, line 7]
2012-03-18 22:15:56 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2012-03-18 22:15:56 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2012-03-18 22:15:56 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2012-03-18 22:16:05 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2012-03-18 22:16:05 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
